yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average
2012,10,14,0,0,8,,1991,21,0,0.0857142857
1991,4,1,0,0,0,,1963,28,0,0.2702702703
1998,55,162,11,11,30,170000,1975,23,0.1975308642,0.247706422
2001,32,62,5,2,11,2000000,1976,25,0.2580645161,0.1780821918
1996,158,586,96,78,81,6000000,1967,29,0.2866894198,0.262295082
2013,67,0,0,0,0,1850000,1980,33,0,0
2000,153,606,101,49,69,340000,1974,26,0.3300330033,0.3189300412
2000,35,43,2,0,9,1600000,1970,30,0.1627906977,0.0454545455
2003,35,0,0,0,0,4000000,1966,37,0,0
2003,62,0,0,0,0,375000,1969,34,0,0
1992,27,68,11,13,18,,1968,24,0.25,0.1818181818
2000,3,0,0,0,0,,1977,23,0,0
1999,67,0,0,0,0,270000,1971,28,0,0
1995,92,320,51,39,86,1638268,1966,29,0.240625,0.2621359223
2007,38,63,11,5,13,6450000,1982,25,0.2857142857,0
1999,98,252,28,23,22,205000,1970,29,0.2380952381,0.2602739726
2003,29,52,1,2,28,500000,1973,30,0.1153846154,0.1
2006,135,501,58,29,121,4000000,1974,32,0.2634730539,0.21875
2006,31,38,3,0,6,,1978,28,0.1842105263,0.2
2000,43,1,1,0,0,265000,1975,25,1,0
2000,119,350,59,54,68,220000,1971,29,0.2885714286,0.277027027
1991,10,23,0,3,3,,1965,26,0.2173913043,0.2192513369
2005,123,235,31,18,45,,1974,31,0.2638297872,0.2974910394
2008,87,138,16,9,27,1050000,1974,34,0.2101449275,0
2010,148,588,88,64,96,418420,1988,22,0.2653061224,0.2793867121
2002,130,447,57,38,71,5000000,1969,33,0.2572706935,0.2288888889
1999,29,4,0,0,1,835000,1966,33,0.25,0
1996,62,145,12,10,22,125000,1972,24,0.2137931034,0.2112676056
1999,161,610,108,101,82,11949794,1966,33,0.2967213115,0.2808586762
2011,66,0,0,0,0,5500000,1977,34,0,0
2010,134,414,52,35,93,,1984,26,0.2463768116,0.2427184466
1995,141,546,87,63,98,235000,1965,30,0.2783882784,0.2901023891
1991,31,60,5,5,23,,1966,25,0.1333333333,0.3333333333
2003,73,1,0,0,1,320000,1976,27,0,0
2002,16,34,1,1,11,,1977,25,0.1764705882,0.3031358885
1995,40,24,2,1,17,400000,1965,30,0,0
2007,156,588,81,54,123,3750000,1973,34,0.2704081633,0.2742537313
2008,114,325,36,21,54,1100000,1973,35,0.24,0.2467191601
2009,46,157,30,15,28,,1986,23,0.3121019108,0.2762557078
1996,22,2,0,0,2,111500,1971,25,0,0
1998,39,0,0,0,0,2200000,1969,29,0,0
2013,9,16,2,2,4,,1982,31,0.1875,0.2424242424
2014,18,33,5,1,6,,1982,32,0.2424242424,0.2397959184
2013,14,12,2,3,4,,1985,28,0.1666666667,0
2001,17,43,7,2,18,,1973,28,0.2093023256,0
2011,14,0,0,0,0,7000000,1984,27,0,0
2010,20,39,2,2,11,,1989,21,0.1794871795,0.1186440678
2005,160,605,84,57,109,4500000,1969,36,0.2578512397,0.2300319489
1995,129,513,78,67,51,2000000,1957,38,0.3001949318,0.2671755725
2008,114,352,48,46,77,393300,1985,23,0.2585227273,0.3078393881
2001,150,540,99,69,155,3416667,1973,28,0.2666666667,0.2385321101
1997,108,388,56,51,122,4225000,1964,33,0.2345360825,0.2367066895
2011,42,0,0,0,0,1200000,1977,34,0,0
2003,62,0,0,0,0,300000,1974,29,0,0
2012,33,7,0,1,2,486100,1986,26,0.1428571429,0.2452830189
2002,146,606,86,55,76,3325000,1975,27,0.3052805281,0.3142857143
2007,90,341,43,34,76,9500000,1977,30,0.2404692082,0.2471910112
2013,35,1,0,0,1,,1983,30,0,0
1999,16,11,0,0,6,200000,1977,22,0,0.0333333333
2004,14,30,4,1,8,,1976,28,0.1333333333,0
1990,124,497,73,35,88,1012500,1961,29,0.291750503,0.2553956835
2005,115,370,46,66,101,4000000,1974,31,0.2513513514,0.2331838565
2000,20,1,0,0,0,,1972,28,0,0
1993,152,583,94,70,89,220000,1968,25,0.2847341338,0.2560706402
2006,34,65,5,1,22,3200000,1975,31,0.0461538462,0.0689655172
1997,119,420,57,27,100,185000,1969,28,0.2714285714,0.2589641434
2002,31,45,1,3,11,1825000,1971,31,0.2,0.1956521739
2013,69,194,32,16,41,,1989,24,0.2628865979,0.3119266055
2002,26,3,0,1,0,206500,1976,26,0,0
